X,Y,Z,FGrav_mgal
748338.51,6416801.00,379.33,0.435
748617.63,6416804.00,379.38,0.439
748913.41,6416790.00,382.30,0.150
749217.80,6416803.00,385.75,0.063
744727.63,6416907.00,371.73,-0.022
745039.28,6416892.50,371.73,-0.085
745336.67,6416899.50,371.07,-0.030
745632.82,6416891.50,373.12,-0.037
745913.49,6416903.00,380.31,-0.008
746218.09,6416886.50,384.19,0.281
746530.05,6416903.00,379.43,0.459
746816.50,6416916.50,377.52,0.524
747123.16,6416893.00,374.01,0.184
747432.36,6416906.00,377.94,0.143
747725.46,6416926.50,379.83,0.188
748031.79,6416905.50,382.79,0.118
748333.15,6416914.50,379.23,0.344
748613.60,6416918.00,378.51,0.371
748927.96,6416889.50,385.06,0.159
749240.02,6416908.00,386.87,0.064
744721.71,6417014.50,373.99,-0.026
745011.57,6417019.50,373.99,-0.086
745334.77,6416998.50,373.13,-0.018
745614.35,6417005.50,376.00,-0.071
745915.16,6416990.00,381.06,0.030
746230.29,6416993.50,383.24,0.477
746521.43,6417009.50,379.41,0.647
746840.96,6416995.50,378.55,0.580
747135.13,6417007.00,373.10,0.252
747427.00,6417004.00,377.83,0.348
747719.95,6417017.00,379.86,0.334
748021.74,6417000.00,380.90,0.150
748314.48,6416993.50,379.41,0.280
748620.25,6417000.50,381.29,0.296
748939.62,6417000.50,383.47,0.185
749243.17,6417009.00,388.06,0.107
744746.49,6417100.00,375.06,-0.039
745040.45,6417104.50,375.06,-0.026
745329.54,6417109.00,374.95,-0.086
745917.92,6417106.00,382.96,0.028
746237.84,6417099.00,383.49,0.603
746838.75,6417104.00,378.90,0.701
747118.12,6417097.00,373.45,0.401
747714.41,6417083.50,379.22,0.459
748035.16,6417099.00,379.00,0.231
748621.31,6417100.50,381.03,0.264
749240.40,6417105.00,387.22,0.118
744730.86,6417215.50,376.92,-0.032
745035.51,6417201.00,376.92,-0.029
745339.43,6417216.00,377.00,-0.055
745629.04,6417199.50,377.53,-0.027
745927.79,6417206.00,383.21,0.010
746222.90,6417227.00,383.86,0.548
746529.68,6417206.50,380.70,0.866
746834.04,6417193.00,379.23,0.783
747143.93,6417213.00,372.10,0.548
747414.94,6417216.50,374.07,0.636
747744.40,6417183.00,382.98,0.618
748019.46,6417192.50,378.01,0.333
748329.34,6417211.50,381.75,0.242
748610.78,6417202.00,380.03,0.311
748933.46,6417198.50,387.83,0.244
749226.37,6417222.00,389.01,0.191
744718.37,6417303.50,378.12,0.006
745036.40,6417280.00,378.06,-0.037
745323.70,6417320.00,378.87,-0.068
745632.26,6417310.50,380.00,-0.017
745924.86,6417284.00,383.91,-0.020
746245.53,6417314.50,385.78,0.462
746545.22,6417321.00,380.00,0.858
746838.31,6417300.50,380.71,0.805
747132.33,6417314.00,374.04,0.730
747437.06,6417310.00,376.34,0.763
747731.14,6417304.50,380.86,0.751
748049.25,6417310.00,377.96,0.418
748327.59,6417299.00,382.28,0.287
748638.76,6417295.00,381.48,0.390
748936.33,6417314.00,386.81,0.275
749228.92,6417312.50,389.58,0.183
744733.58,6417404.50,383.04,0.015
745036.97,6417411.50,381.33,0.005
745338.50,6417400.50,381.28,-0.048
745643.46,6417401.50,381.76,-0.006
745929.08,6417414.00,385.38,-0.052
746250.89,6417392.00,383.00,0.271
746537.64,6417398.50,381.11,0.767
746831.11,6417400.00,379.70,0.857
747128.58,6417392.00,375.11,0.806
