X,Y,Z_ground_m,Z_sensor_m,Mag_anomaly_nT,FGrav_mgal
748344.94,6417612.00,379.39,57.16,406.11,0.432
748331.94,6417586.50,379.59,56.74,389.39,0.402
749007.06,6417341.50,385.55,57.44,297.00,0.230
748989.25,6417350.00,385.30,57.78,313.91,0.227
748970.38,6417369.50,385.05,58.50,347.41,0.209
748931.44,6417395.50,384.83,58.46,389.97,0.240
748887.94,6417440.50,384.00,56.56,419.75,0.270
748831.19,6417479.00,383.77,56.02,438.47,0.264
748739.94,6417528.00,382.62,55.38,447.97,0.232
748720.69,6417596.00,382.92,54.17,448.70,0.221
748698.94,6417661.50,382.58,54.67,421.55,0.166
748670.50,6417695.00,382.09,55.81,408.17,0.138
748623.88,6417742.50,381.72,58.87,395.15,0.162
748597.94,6417748.00,381.46,59.63,400.57,0.170
748561.63,6417775.50,381.58,60.80,410.59,0.195
748538.69,6417796.50,381.87,61.28,418.18,0.221
748513.38,6417847.50,381.99,62.34,437.80,0.169
748483.63,6417859.00,381.32,62.13,464.41,0.204
748480.56,6417873.50,381.07,61.82,476.28,0.210
748407.31,6417893.00,380.77,61.29,539.07,0.271
748400.13,6417876.00,381.34,61.73,529.23,0.282
748386.06,6417846.50,381.93,61.62,514.46,0.301
748355.00,6417793.00,381.57,60.63,504.81,0.333
748361.31,6417769.00,382.54,60.16,487.79,0.338
748338.19,6417717.50,380.38,59.21,475.41,0.369
748307.63,6417702.50,379.10,58.12,490.35,0.447
748949.75,6417388.00,384.94,58.77,377.91,0.231
748904.81,6417419.00,384.42,57.41,407.62,0.252
748861.88,6417466.50,383.89,55.86,433.84,0.267
748809.13,6417495.50,383.41,55.96,443.55,0.254
748732.19,6417562.00,382.77,54.79,448.74,0.230
748714.38,6417624.00,382.75,54.14,438.21,0.194
748652.75,6417724.00,381.91,57.22,397.95,0.149
748529.00,6417836.50,381.93,62.29,422.04,0.176
748429.69,6417890.50,380.97,61.29,523.09,0.247
749089.56,6416301.00,384.10,60.05,-597.14,-0.008
749070.00,6416329.50,384.76,61.42,-627.86,0.010
749067.63,6416367.00,384.80,62.61,-621.35,0.026
749070.88,6416412.00,384.47,62.24,-603.47,0.040
749069.63,6416427.50,384.44,61.83,-585.60,0.041
749071.69,6416461.00,384.40,60.78,-561.68,0.047
749081.25,6416482.50,385.50,59.73,-537.67,0.056
749100.19,6416538.00,385.74,57.15,-477.40,0.079
749096.56,6416571.50,384.87,56.31,-437.74,0.062
749094.50,6416602.00,384.01,55.46,-405.05,0.070
749094.69,6416630.00,384.14,55.91,-380.63,0.092
749084.75,6416671.00,384.27,57.76,-344.75,0.085
749078.88,6416707.00,384.40,59.23,-317.62,0.042
749066.75,6416734.00,384.59,60.60,-292.35,0.073
